% Calcite 25 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)  
 15.559045     0.832058      0.03736      1.47858   4.1263e-05 -0.000376279     0.111335     0.111949     0.460031
 16.034045     0.819565    0.0342358      1.48169  3.53213e-05 -0.000380033     0.111345     0.112105     0.460036
 16.509045     0.808768    0.0315363      1.48438  3.06703e-05 -0.000383729     0.111353      0.11224     0.460039
 16.984045     0.799402    0.0291952      1.48672  2.69799e-05 -0.000387377      0.11136     0.112357     0.460043
 17.459045     0.791229    0.0271528      1.48876  2.40848e-05 -0.000390981     0.111367      0.11246     0.460046
 17.934045     0.784056    0.0253607      1.49054  2.18253e-05 -0.000394547     0.111373     0.112549     0.460048
 18.409045     0.777728    0.0237801      1.49212  2.00465e-05  -0.00039808     0.111378     0.112628      0.46005
 18.556784     0.775912    0.0233266      1.49257  1.95701e-05 -0.000399173      0.11138     0.112651     0.460051
 18.704522     0.774162    0.0228896      1.49301  1.91273e-05 -0.000400263     0.111381     0.112673     0.460051
 18.852261     0.772474    0.0224681      1.49343  1.87157e-05 -0.000401351     0.111383     0.112694     0.460052
 19.000000     0.770845    0.0220616      1.49383   1.8333e-05 -0.000402436     0.111384     0.112714     0.460052
