time_d pH Ptot_atm pH2_atm pCO2_atm pCH4_atm CH4_g_mol H2_g_mol CO2_g_mol SO4 Formate Acetate Ca
9.6 5.7875054667927355 80.95110521898283 9.085993340836286 2.773013281681119 69.09110005702541 0.7637791178665064 0.10044263259774631 0.030654738980353938 0.00037118684282093166 0.001705108931161714 0.0 0.011471431971527182
10.56 5.786688665296033 80.94745289848917 9.083294463692917 2.7721783233860675 69.09098147829432 0.7637795193069142 0.10041302252148339 0.03064557749754022 0.0003711934596053466 0.0018554853167128706 0.0 0.011530198030156149
11.52 5.785898379235096 80.94390245919965 9.080671521158974 2.771365602598579 69.09086661181601 0.7637799102101768 0.10038424496911266 0.03063665973407268 0.00037119992077275303 0.0020016335018862366 0.0 0.011587399882633603
12.48 5.785135101583923 80.94045788043208 9.07812738422762 2.770576141724433 69.09075554355 0.7637802900682368 0.10035633149851898 0.03062799693737112 0.0003712062258889228 0.0021433932264851344 0.0 0.011642965433468773
13.44 5.7843957451830805 80.93710637864082 9.07565256367827 2.7698070877864813 69.09064783178648 0.7637806602418494 0.10032917804009484 0.03061955782218468 0.00037121238020708673 0.002281293030474383 0.0 0.011697095457579776
14.4 5.783681392659851 80.93385428181713 9.073251676983118 2.7690599824250017 69.09054364551531 0.7637810199760784 0.10030283530420625 0.03061135932882259 0.00037121837631659934 0.0024150753897714578 0.0 0.01174968136162917
15.36 5.782990060938004 80.93069429047927 9.070919271047064 2.7683332529316607 69.0904427108175 0.7637813700139738 0.10027724351301581 0.030603384225432694 0.0003712242441010539 0.002545043890922774 0.0 0.011800833668688867
16.32 5.782320401680687 80.92762080869693 9.068651189444758 2.7676256544941085 69.09034483284316 0.7637817109475157 0.10025235708734091 0.030595618863559472 0.00037122996548214426 0.002671430031978244 0.0 0.011850640063871853
17.28 5.7816723095711735 80.92463464929494 9.066447983638074 2.7669374529631643 69.09025000708137 0.763782042637886 0.10022818211992958 0.030588066181027964 0.00037123554850213264 0.0027942028775379086 0.0 0.011899081735710082
18.24 5.781045327003428 80.92173484289374 9.064308895531317 2.7662684945659266 69.09015817596023 0.7637823651486602 0.10020471032983164 0.030580724508322523 0.00037124099312963864 0.0029134044913009392 0.0 0.011946169438195925
19.2 5.780438222756304 80.91891663473736 9.062230381425072 2.7656177405499425 69.0900691670285 0.7637826789717326 0.10018190286450783 0.030573582460719555 0.0003712463058529645 0.0030292321973474957 0.0 0.011991976247351089
20.16 5.779851261485218 80.9161820705143 9.060213918905953 2.764985714707479 69.08998302461966 0.7637829838489352 0.10015977596683912 0.030566645800602716 0.0003712514808184243 0.0031416035196386075 0.0 0.012036465279033568
21.12 5.779282419322167 80.91352296988953 9.05825343135405 2.764370598238148 69.08989946358002 0.7637832806459798 0.10013826299409025 0.030559894584246794 0.0003712565342207131 0.0032508569042606424 0.0 0.01207976443304507
22.08 5.778731985730494 80.9109411316809 9.056350225781507 2.7637728378197295 69.08981852906719 0.7637835691422237 0.10011737830732488 0.030553333722918154 0.000371261457769042 0.0033569194351783307 0.0 0.01212184231218038
23.04 5.778198501309895 80.90843070296775 9.054499952737796 2.7631911357878143 69.08974001510279 0.7637838499577992 0.10009707420874087 0.030546948988460845 0.00037126626529720394 0.003460033350025338 0.0 0.0121627901747134
24.0 5.777681834236426 80.90599163936093 9.052702557407384 2.7626255176302306 69.08966390660662 0.7637841230740807 0.1000773501172734 0.030540740670289793 0.00037127095137056917 0.0035602016101210754 0.0 0.012202606226842844
24.96 5.777181351981866 80.90362173982912 9.050956389529667 2.7620755184143153 69.08959011766345 0.7637843887088586 0.1000581879475698 0.030534703676933134 0.000371275522010417 0.0036575160674345067 0.0 0.012241323144982223
25.92 5.77669731547606 80.90132291772589 9.04926283443329 2.761541622041647 69.08951869242097 0.7637846466229287 0.10003960292402403 0.030528843330336966 0.0003712799736481154 0.0037518994130190417 0.0 0.012278906837192814
26.88 5.77622783068924 80.89908668361132 9.047615618923572 2.7610218874683046 69.08944935546131 0.7637848977491117 0.10002152622215041 0.030523138332722098 0.0003712843153988178 0.003843701178846096 0.0 0.01231549393075488
27.84 5.77577291456427 80.89691378577133 9.046015271132324 2.7605165267214766 69.08938211490853 0.7637851419799461 0.1000039636585575 0.030517591021328044 0.0003712885516930463 0.003932891830077056 0.0 0.012351069455821283
28.8 5.775332154596496 80.89480275962387 9.044460693485036 2.7600252285993996 69.08931691490672 0.7637853794610189 0.09998690320399231 0.030512197987838448 0.0003712926805813793 0.004019532463992757 0.0 0.012385655304844463
29.76 5.77490603452784 80.89275650739548 9.042954003103368 2.759548702017111 69.08925383169597 0.763785609846106 0.09997036811112979 0.03050696702282005 0.00037129670008014925 0.004103504999111433 0.0 0.012419201544528486
30.72 5.7744933416044795 80.89076955020754 9.041491152509437 2.759085692208647 69.08919268850354 0.7637858337376947 0.09995431397349201 0.03050188435817038 0.00037130061191885323 0.004185034960249179 0.0 0.012451796514008118
31.68 5.774092636602992 80.88883550092811 9.040067421109208 2.7586347410346175 69.08913327676548 0.7637860518374231 0.0999386890013341 0.030496933995091693 0.00037130443437230053 0.004264385362149967 0.0 0.01248354281499455
32.64 5.773704639934858 80.8869583208797 9.038685707899054 2.7581967990041547 69.08907570837604 0.7637862636811216 0.099923525023986 0.03049212637471759 0.00037130815622606566 0.004341394565611677 0.0 0.012514373512361059
