% Sandstone 34 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)  
  0.291391      8.64764      2.17238    0.0854348    0.0526912 -6.04066e-05    0.0583692    0.0193295   0.00109419
  0.349568      8.55571      2.14912      0.10812    0.0461983  -7.4924e-05    0.0648767    0.0204786   0.00137747
  0.407745      8.45331      2.12323     0.133394    0.0405073 -8.93243e-05     0.070582    0.0217587   0.00168948
  0.465922      8.33951      2.09445     0.161487    0.0355205 -0.000103584    0.0755831    0.0231811   0.00203181
  0.524099      8.21346      2.06258     0.192612    0.0311492 -0.000117675    0.0799685    0.0247567   0.00240565
  0.585065      8.06746      2.02567     0.228671    0.0271443  -0.00013223    0.0839879    0.0265817   0.00283164
  0.646032      7.90643      1.98496     0.268454    0.0236561  -0.00014654    0.0874905    0.0285946   0.00329264
  0.706998      7.72955      1.94026     0.312164    0.0206188 -0.000160574    0.0905418    0.0308057   0.00378827
  0.767964      7.53622      1.89141     0.359955     0.017973 -0.000174298    0.0932013    0.0332223   0.00431727
  0.830991      7.31894      1.83653     0.413681    0.0155943 -0.000188119    0.0955938    0.0359383   0.00489609
  0.894018      7.08412      1.77723     0.471766    0.0135319 -0.000201535    0.0976696    0.0388735    0.0055025
  0.957044      6.83197      1.71357     0.534162    0.0117444 -0.000214516    0.0994701    0.0420254   0.00613144
  1.020071      6.56307      1.64572     0.600729    0.0101943 -0.000227023     0.101033    0.0453867   0.00677724
  1.084573      6.27212      1.57232     0.672782   0.00881974  -0.00023929      0.10242    0.0490234   0.00744738
  1.149075      5.96752      1.49551     0.748253   0.00763169 -0.000250997     0.103619     0.052831   0.00811614
  1.213578      5.65133      1.41582     0.826631   0.00660515 -0.000262123     0.104657    0.0567834   0.00877455
  1.278080      5.32585      1.33382     0.907349    0.0057176 -0.000272641     0.105555    0.0608518    0.0094151
  1.343969      4.98742       1.2486     0.991321   0.00493423 -0.000282729     0.106348    0.0650823    0.0100418
  1.409859      4.64717      1.16296      1.07578   0.00425894 -0.000292157     0.107033    0.0693353      0.01063
  1.475748      4.30833      1.07771      1.15994   0.00367702 -0.000300933     0.107624    0.0735708    0.0111736
  1.541638      3.97383     0.993596      1.24306   0.00317519 -0.000309053     0.108134    0.0777522      0.01167
  1.609475      3.63808     0.909207      1.32653    0.0027301 -0.000316724     0.108587     0.081949    0.0121289
  1.677312      3.31504     0.828053      1.40688   0.00234785 -0.000323733     0.108976    0.0859869    0.0125319
  1.745149      3.00693     0.750681      1.48356    0.0020197 -0.000330117      0.10931    0.0898384    0.0128806
  1.812987      2.71538     0.677502      1.55614   0.00173774 -0.000335897     0.109598    0.0934827    0.0131792
  1.878604      2.45112     0.611197      1.62195   0.00150257 -0.000340937     0.109838     0.096786    0.0134241
  1.944221      2.20563     0.549624      1.68312   0.00129944  -0.00034548     0.110046    0.0998546     0.013629
  2.009838      1.97897     0.492792      1.73961   0.00112404 -0.000349567     0.110226     0.102688    0.0137988
  2.075455      1.77105     0.440678      1.79144  0.000972486 -0.000353231     0.110381     0.105287    0.0139383
  2.143396      1.57547      0.39167      1.84022  0.000837089 -0.000356611      0.11052     0.107732    0.0140554
  2.211337      1.39915     0.347499       1.8842  0.000720675 -0.000359616     0.110639     0.109936    0.0141492
  2.279278      1.24087     0.307856       1.9237  0.000620621 -0.000362285     0.110742     0.111914    0.0142238
  2.347220       1.0995     0.272456      1.95898  0.000534562 -0.000364652      0.11083     0.113681    0.0142829
  2.420834     0.964136     0.238568      1.99277  0.000454752 -0.000366911     0.110912     0.115373    0.0143326
  2.494449     0.845547     0.208885      2.02237  0.000386959 -0.000368891     0.110982     0.116856    0.0143708
  2.568064     0.741936     0.182955      2.04825  0.000329409  -0.00037063     0.111041     0.118151       0.0144
  2.641679     0.651731     0.160383      2.07077  0.000280507 -0.000372156     0.111092     0.119278    0.0144222
  2.727817     0.561249     0.137744      2.09337   0.00023244 -0.000373709     0.111141     0.120409    0.0144416
  2.813954     0.484762      0.11861      2.11248  0.000192715 -0.000375049     0.111182     0.121365    0.0144557
  2.900092     0.420181     0.102455      2.12861  0.000159934 -0.000376207     0.111216     0.122173    0.0144659
  2.986229     0.365734    0.0888373      2.14222  0.000132831 -0.000377214     0.111244     0.122853    0.0144734
  3.100613     0.306448    0.0740101      2.15703  0.000103792 -0.000378356     0.111275     0.123594    0.0144803
  3.214997     0.259162    0.0621848      2.16885  8.12506e-05 -0.000379317     0.111298     0.124185    0.0144849
  3.329381     0.221346    0.0527288       2.1783  6.38793e-05 -0.000380133     0.111316     0.124658     0.014488
  3.443765     0.190973    0.0451341      2.18589  5.03866e-05 -0.000380833      0.11133     0.125038    0.0144901
  3.575009     0.163216    0.0381937      2.19282   3.8362e-05 -0.000381524     0.111343     0.125385    0.0144917
  3.706252     0.141341    0.0327245      2.19829  2.95098e-05 -0.000382118     0.111353     0.125658    0.0144928
  3.837495     0.123982    0.0283845      2.20263  2.31721e-05 -0.000382635     0.111359     0.125875    0.0144936
  3.968739     0.110007    0.0248908      2.20612  1.83292e-05 -0.000383091     0.111365      0.12605    0.0144941
  4.114506    0.0974372    0.0217484      2.20926   1.3824e-05 -0.000383541      0.11137     0.126207    0.0144945
  4.260273    0.0872883    0.0192112       2.2118  1.07942e-05 -0.000383941     0.111373     0.126334    0.0144948
  4.406040    0.0790063    0.0171409      2.21387  9.15703e-06 -0.000384301     0.111375     0.126437     0.014495
  4.551806    0.0721592    0.0154293      2.21558  7.85418e-06 -0.000384629     0.111377     0.126523    0.0144952
  4.724306    0.0654521    0.0137527      2.21726  5.89012e-06 -0.000384982     0.111379     0.126607    0.0144953
  4.896806    0.0599103    0.0123675      2.21864  4.82103e-06 -0.000385304      0.11138     0.126676    0.0144954
  5.069306    0.0552822    0.0112107       2.2198  4.77998e-06   -0.0003856     0.111381     0.126734    0.0144955
  5.241806    0.0513747     0.010234      2.22077  4.63154e-06 -0.000385873     0.111381     0.126783    0.0144955
  5.414306    0.0480283   0.00939763      2.22161  3.78865e-06 -0.000386129     0.111382     0.126825    0.0144956
  5.586806    0.0451245   0.00867187      2.22234  3.31034e-06 -0.000386368     0.111383     0.126861    0.0144956
