  3.264000000000e+01	  5.842983915162e+00	  8.021308745330e+01	  9.021367026189e+00	  2.144520536426e+00	  6.904604154796e+01	  9.948491329448e-02	  2.364912534933e-02	  7.614189109894e-01	  4.575767801675e-04	  4.553241470210e-03	  0.000000000000e+00	  1.186473427385e-02	
  3.360000000000e+01	  5.842592643955e+00	  8.021117474191e+01	  9.019957204380e+00	  2.144073256930e+00	  6.904598588157e+01	  9.946947525186e-02	  2.364421880682e-02	  7.614191318495e-01	  4.575794728491e-04	  4.631724665622e-03	  0.000000000000e+00	  1.189627738061e-02	
  3.456000000000e+01	  5.842213248132e+00	  8.020931516934e+01	  9.018586703995e+00	  2.143638155553e+00	  6.904593185620e+01	  9.945446765572e-02	  2.363944580283e-02	  7.614193467251e-01	  4.575821007433e-04	  4.708019514631e-03	  0.000000000000e+00	  1.192696183637e-02	
  3.552000000000e+01	  5.841846310188e+00	  8.020751208370e+01	  9.017257977433e+00	  2.143216040503e+00	  6.904587955943e+01	  9.943991737453e-02	  2.363481520845e-02	  7.614195552147e-01	  4.575846633892e-04	  4.781989428865e-03	  0.000000000000e+00	  1.195673063226e-02	
  3.648000000000e+01	  5.841490545992e+00	  8.020575953299e+01	  9.015966626728e+00	  2.142805537140e+00	  6.904582881167e+01	  9.942577625857e-02	  2.363031194790e-02	  7.614197579945e-01	  4.575871618955e-04	  4.853879195197e-03	  0.000000000000e+00	  1.198568070311e-02	
  3.744000000000e+01	  5.841145313973e+00	  8.020405483956e+01	  9.014710664404e+00	  2.142406041654e+00	  6.904577952648e+01	  9.941202255590e-02	  2.362592940204e-02	  7.614199553592e-01	  4.575896039370e-04	  4.923799396699e-03	  0.000000000000e+00	  1.201385460254e-02	
  3.840000000000e+01	  5.840810612824e+00	  8.020239822013e+01	  9.013490242327e+00	  2.142017617483e+00	  6.904573170526e+01	  9.939865793771e-02	  2.362166826974e-02	  7.614201472790e-01	  4.575919870710e-04	  4.991741545314e-03	  0.000000000000e+00	  1.204124787026e-02	
  3.936000000000e+01	  5.840486283811e+00	  8.020078932234e+01	  9.012305087960e+00	  2.141640202913e+00	  6.904568532988e+01	  9.938567942963e-02	  2.361752787805e-02	  7.614203337784e-01	  4.575943124049e-04	  5.057720763210e-03	  0.000000000000e+00	  1.206786483886e-02	
  4.032000000000e+01	  5.840172245443e+00	  8.019922798012e+01	  9.011155070934e+00	  2.141273771853e+00	  6.904564039072e+01	  9.937308561240e-02	  2.361350794376e-02	  7.614205148710e-01	  4.575965786763e-04	  5.121744271747e-03	  0.000000000000e+00	  1.209370735470e-02	
  4.128000000000e+01	  5.839867905636e+00	  8.019771166438e+01	  9.010038316209e+00	  2.140917750394e+00	  6.904559680753e+01	  9.936085596225e-02	  2.360960217464e-02	  7.614206908376e-01	  4.575987898857e-04	  5.183916410050e-03	  0.000000000000e+00	  1.211881586641e-02	
  4.224000000000e+01	  5.839572411166e+00	  8.019623640801e+01	  9.008951893398e+00	  2.140571221190e+00	  6.904555446083e+01	  9.934895839603e-02	  2.360580050979e-02	  7.614208621291e-01	  4.576009507662e-04	  5.244400283373e-03	  0.000000000000e+00	  1.214325505692e-02	
  4.320000000000e+01	  5.839285999521e+00	  8.019480356997e+01	  9.007896797367e+00	  2.140234512992e+00	  6.904551338600e+01	  9.933740381511e-02	  2.360210655814e-02	  7.614210285843e-01	  4.576030581643e-04	  5.303140477650e-03	  0.000000000000e+00	  1.216700175258e-02	
  4.416000000000e+01	  5.839008685358e+00	  8.019341351504e+01	  9.006873287845e+00	  2.139907725589e+00	  6.904547358829e+01	  9.932619507069e-02	  2.359852141720e-02	  7.614211901499e-01	  4.576051137603e-04	  5.360122500074e-03	  0.000000000000e+00	  1.219004890751e-02	
  4.512000000000e+01	  5.838739409196e+00	  8.019206117061e+01	  9.005877622653e+00	  2.139589678203e+00	  6.904543491790e+01	  9.931529118758e-02	  2.359503213527e-02	  7.614213474084e-01	  4.576071203832e-04	  5.415554660120e-03	  0.000000000000e+00	  1.221247978330e-02	
  4.608000000000e+01	  5.838478230151e+00	  8.019074710608e+01	  9.004910213083e+00	  2.139280517674e+00	  6.904539738610e+01	  9.930469667748e-02	  2.359164032609e-02	  7.614215002870e-01	  4.576090802937e-04	  5.469414023925e-03	  0.000000000000e+00	  1.223428401244e-02	
  4.704000000000e+01	  5.838225787075e+00	  8.018947466538e+01	  9.003973516278e+00	  2.138981037992e+00	  6.904536108577e+01	  9.929443845362e-02	  2.358835470212e-02	  7.614216483907e-01	  4.576109874853e-04	  5.521563776286e-03	  0.000000000000e+00	  1.225540561637e-02	
  4.800000000000e+01	  5.837980680659e+00	  8.018823716520e+01	  9.003062602229e+00	  2.138689682615e+00	  6.904532581997e+01	  9.928446253380e-02	  2.358515818968e-02	  7.614217924901e-01	  4.576128511420e-04	  5.572278347523e-03	  0.000000000000e+00	  1.227595432850e-02	
  4.896000000000e+01	  5.837742474900e+00	  8.018703239217e+01	  9.002175840917e+00	  2.138405931646e+00	  6.904529152516e+01	  9.927475106765e-02	  2.358204508525e-02	  7.614219328390e-01	  4.576146735876e-04	  5.621648488173e-03	  0.000000000000e+00	  1.229596683963e-02	
  4.992000000000e+01	  5.837511942435e+00	  8.018586457079e+01	  9.001316332982e+00	  2.138130794181e+00	  6.904525831623e+01	  9.926533802014e-02	  2.357902646284e-02	  7.614220689385e-01	  4.576164502264e-04	  5.669501531097e-03	  0.000000000000e+00	  1.231537196427e-02	
