Time,nH2_g,nCO2_g,nCH4_g,nH2S_g,H2_aq,CO2_aq,SO4,FeS,X,Acetate,HCO3,S_tot,Lag,Fe_pool,H2S_aq,HS_aq,r_meth,r_sulf,r_precip,r_aceto
0.60860861,9.0725812,2.4634697,4.2263677e-05,0.01171356,1.2302141,14.635257,5.8984499,0.01,0.02142662,0.018656839,0,0.28959271,0.40216521,0.1,0.18371559,0.10587712,0.0078872704,0.010916164,0,0.052868701
0.62762763,9.0725018,2.4634402,4.4556103e-05,0.011706597,1.2299535,14.635019,5.9045382,0.01,0.022054566,0.019681773,0,0.29026862,0.41248848,0.1,0.18360775,0.10666087,0.0081857373,0.011345617,0,0.054924622
0.64664665,9.0724192,2.4634096,4.6935321e-05,0.011699658,1.2296825,14.634771,5.9106169,0.01,0.022706951,0.020746583,0,0.29095123,0.42269499,0.1,0.1835005,0.10745073,0.0084958013,0.011792356,0,0.057062469
0.66566567,9.0723335,2.4633778,4.9404703e-05,0.011692746,1.2294007,14.634514,5.9166856,0.01,0.02338475,0.021852858,0,0.2916407,0.4327853,0.1,0.18339391,0.10824679,0.0088179151,0.012257081,0,0.059285519
0.68468468,9.0722444,2.4633447,5.1967755e-05,0.011685864,1.2291077,14.634247,5.922744,0.01,0.024088974,0.02300225,0,0.29233715,0.44275987,0.1,0.18328802,0.10904913,0.0091525486,0.012740517,0,0.061597178
0.7037037,9.0721518,2.4633104,5.4628115e-05,0.011679016,1.2288031,14.63397,5.9287919,0.01,0.024820678,0.024196478,0,0.29304075,0.45261914,0.1,0.1831829,0.10985784,0.0095001899,0.013243417,0,0.064000982
0.72272272,9.0720557,2.4632748,5.7389568e-05,0.011672205,1.2284863,14.633681,5.9348286,0.01,0.025580956,0.025437329,0,0.29375163,0.46236346,0.1,0.18307862,0.11067302,0.0098613453,0.013766565,0,0.06650061
0.74174174,9.0719558,2.4632377,6.0256043e-05,0.011665434,1.228157,14.633381,5.940854,0.01,0.026370949,0.026726662,0,0.29446998,0.47199317,0.1,0.18297522,0.11149475,0.010236541,0.014310775,0,0.06909988
0.76076076,9.071852,2.4631992,6.3231624e-05,0.011658708,1.2278145,14.63307,5.9468676,0.01,0.02719184,0.02806641,0,0.29519594,0.48150853,0.1,0.1828728,0.11232314,0.010626322,0.014876895,0,0.071802761
0.77977978,9.0717441,2.4631592,6.6320551e-05,0.011652029,1.2274584,14.632746,5.9528689,0.01,0.02804486,0.029458581,0,0.2959297,0.49090981,0.1,0.18277141,0.11315829,0.011031255,0.015465802,0,0.074613375
0.7987988,9.0716321,2.4631177,6.952723e-05,0.011645402,1.2270882,14.63241,5.9588575,0.01,0.028931291,0.030905266,0,0.29667143,0.50019723,0.1,0.18267112,0.11400031,0.011451928,0.016078411,0,0.077536003
0.81781782,9.0715156,2.4630745,7.2856239e-05,0.011638831,1.2267032,14.63206,5.964833,0.01,0.029852464,0.032408637,0,0.29742133,0.50937098,0.1,0.18257202,0.11484931,0.011888951,0.016715671,0,0.080575093
0.83683684,9.0713946,2.4630296,7.6312331e-05,0.01163232,1.2263029,14.631697,5.9707949,0.01,0.030809763,0.033970953,0,0.29817958,0.51843126,0.1,0.18247419,0.11570539,0.012342957,0.017378567,0,0.083735263
0.85585586,9.0712688,2.462983,7.9900444e-05,0.011625873,1.2258867,14.631319,5.9767427,0.01,0.031804626,0.03559456,0,0.29894639,0.52737823,0.1,0.1823777,0.11656868,0.012814603,0.018068125,0,0.087021309
0.87487487,9.0711382,2.4629345,8.3625708e-05,0.011619496,1.2254539,14.630926,5.9826758,0.01,0.03283855,0.037281902,0,0.29972196,0.53621207,0.1,0.18228265,0.11743931,0.013304569,0.018785408,0,0.090438212
0.89389389,9.0710024,2.4628841,8.7493449e-05,0.011613192,1.225004,14.630518,5.9885938,0.01,0.033913091,0.039035515,0,0.30050651,0.54493293,0.1,0.18218912,0.11831739,0.013813563,0.01953152,0,0.093991143
0.91291291,9.0708612,2.4628318,9.15092e-05,0.011606968,1.2245361,14.630094,5.9944961,0.01,0.035029864,0.040858037,0,0.30130028,0.55354099,0.1,0.18209721,0.11920307,0.014342318,0.02030761,0,0.097685471
0.93193193,9.0707146,2.4627774,9.5678705e-05,0.011600828,1.2240497,14.629654,6.0003821,0.01,0.03619055,0.04275221,0,0.30210348,0.56203641,0.1,0.182007,0.12009648,0.014891596,0.021114868,0,0.10152677
0.95095095,9.0705622,2.4627209,0.00010000793,0.011594777,1.2235439,14.629196,6.0062513,0.01,0.037396895,0.044720884,0,0.30291638,0.57041937,0.1,0.18191862,0.12099776,0.015462183,0.021954532,0,0.10552082
0.96996997,9.0704038,2.4626622,0.00010450308,0.011588822,1.223018,14.628719,6.0121029,0.01,0.038650715,0.046767022,0,0.30373921,0.57869006,0.1,0.18183215,0.12190706,0.0160549,0.022827886,0,0.10967364
0.98898899,9.0702391,2.4626011,0.00010917057,0.011582967,1.2224713,14.628225,6.0179363,0.01,0.039953896,0.048893701,0,0.30457224,0.58684867,0.1,0.18174771,0.12282453,0.016670594,0.023736262,0,0.11399145
1.008008,9.070068,2.4625377,0.0001140171,0.01157722,1.2219029,14.62771,6.0237509,0.01,0.041308398,0.05110412,0,0.30541576,0.59489544,0.1,0.18166541,0.12375035,0.017310145,0.024681045,0,0.11848071
1.027027,9.0698902,2.4624718,0.00011904959,0.011571586,1.221312,14.627176,6.029546,0.01,0.042716259,0.053401604,0,0.30627003,0.6028306,0.1,0.18158537,0.12468466,0.017974465,0.02566367,0,0.12314815
1.046046,9.0697053,2.4624032,0.00012427524,0.011566073,1.2206976,14.62662,6.0353207,0.01,0.044179596,0.055789607,0,0.30713536,0.61065441,0.1,0.1815077,0.12562765,0.0186645,0.026685628,0,0.12800072
1.0650651,9.0695132,2.462332,0.00012970154,0.011560686,1.2200589,14.626042,6.0410745,0.01,0.045700607,0.058271719,0,0.30801205,0.61836714,0.1,0.18143255,0.1265795,0.01938123,0.027748464,0,0.13304564
1.0840841,9.0693136,2.462258,0.00013533624,0.011555433,1.2193949,14.625442,6.0468064,0.01,0.047281579,0.060851669,0,0.30890043,0.62596912,0.1,0.18136003,0.1275404,0.02012567,0.028853783,0,0.13829041
1.1031031,9.069106,2.462181,0.00014118741,0.011550412,1.2187046,14.624818,6.0525157,0.01,0.048924889,0.063533337,0,0.30979485,0.63346065,0.1,0.1813707,0.12842415,0.02089979,0.030004061,0,0.14374668
1.1221221,9.0688903,2.4621011,0.00014726457,0.011548992,1.2179856,14.624169,6.0582015,0.01,0.050633212,0.066321076,0,0.3104715,0.64084211,0.1,0.18168223,0.12878927,0.021709725,0.031205558,0,0.14944422
1.1411411,9.0686661,2.4620179,0.00015357745,0.01155085,1.2172364,14.623494,6.0638627,0.01,0.052409305,0.069219371,0,0.31095291,0.64811388,0.1,0.18187917,0.12907373,0.022552363,0.032456355,0,0.15537359
1.1601602,9.068433,2.4619315,0.00016013548,0.011554395,1.2164565,14.622791,6.0694985,0.01,0.054255913,0.072232699,0,0.31134619,0.65527638,0.1,0.18202432,0.12932187,0.02342854,0.033758036,0,0.16154217
1.1791792,9.0681906,2.4618416,0.00016694838,0.011558876,1.215645,14.622061,6.0751079,0.01,0.056175874,0.075365689,0,0.31170227,0.66233005,0.1,0.18214749,0.12955478,0.024339348,0.03511244,0,0.16795851
1.1981982,9.0679387,2.4617482,0.0001740262,0.011563945,1.2148008,14.621302,6.0806898,0.01,0.058172133,0.078623141,0,0.31204545,0.66927535,0.1,0.18226292,0.12978253,0.025286028,0.036521569,0,0.17463195
1.2172172,9.0676767,2.4616511,0.00018137938,0.011569442,1.2139227,14.620513,6.0862432,0.01,0.060247745,0.082010038,0,0.31238745,0.67611281,0.1,0.18237746,0.13000999,0.026269919,0.03798755,0,0.18157242
1.2362362,9.0674044,2.4615501,0.00018901872,0.011575297,1.2130095,14.619692,6.091767,0.01,0.062405884,0.085531558,0,0.31273403,0.68284294,0.1,0.18249447,0.13023956,0.027292441,0.039512611,0,0.18879032
1.2552553,9.0671212,2.4614452,0.00019695546,0.011581482,1.2120598,14.618839,6.09726,0.01,0.064649847,0.089193079,0,0.31308812,0.68946631,0.1,0.18261565,0.13047247,0.028355075,0.041099075,0,0.19629649
1.2742743,9.0668267,2.461336,0.00020520125,0.011587993,1.2110722,14.617951,6.1027212,0.01,0.066983062,0.093000191,0,0.31345133,0.69598352,0.1,0.18274194,0.13070939,0.029459367,0.042749358,0,0.20410222
1.2932933,9.0665206,2.4612225,0.00021376822,0.011594833,1.2100451,14.617029,6.1081492,0.01,0.069409088,0.0969587,0,0.31382464,0.70239519,0.1,0.1828739,0.13095074,0.030606922,0.044465971,0,0.2122192
1.3123123,9.0662023,2.4611045,0.00022266893,0.01160201,1.2089772,14.61607,6.1135427,0.01,0.071931627,0.10107464,0,0.31420874,0.70870197,0.1,0.18301193,0.13119682,0.031799406,0.046251515,0,0.2206596
1.3313313,9.0658714,2.4609819,0.00023191646,0.011609535,1.2078667,14.615072,6.1189005,0.01,0.074554523,0.10535429,0,0.31460422,0.71490454,0.1,0.18315635,0.13144787,0.033038547,0.048108691,0,0.22943602
1.3503504,9.0655273,2.4608543,0.00024152436,0.011617423,1.206712,14.614035,6.1242212,0.01,0.077281769,0.10980415,0,0.3150116,0.72100362,0.1,0.18330747,0.13170413,0.034326135,0.0500403,0,0.23856152
1.3693694,9.0651695,2.4607217,0.00025150673,0.011625687,1.2055114,14.612957,6.1295033,0.01,0.080117514,0.114431,0,0.31543137,0.72699994,0.1,0.18346556,0.13196582,0.035664029,0.052049242,0,0.24804966
1.3883884,9.0647975,2.4605838,0.00026187817,0.011634342,1.2042631,14.611836,6.1347453,0.01,0.083066069,0.11924186,0,0.31586406,0.73289427,0.1,0.1836309,0.13223315,0.037054151,0.054138526,0,0.25791447
1.4074074,9.0644107,2.4604404,0.00027265389,0.011643403,1.2029653,14.610671,6.1399457,0.01,0.08613191,0.12424404,0,0.31631018,0.73868739,0.1,0.18380381,0.13250637,0.038498497,0.056311268,0,0.26817051
1.4264264,9.0640086,2.4602914,0.00028384964,0.011652886,1.2016161,14.609459,6.1451028,0.01,0.089319686,0.12944512,0,0.31677027,0.74438014,0.1,0.18398457,0.1327857,0.039999131,0.058570694,0,0.27883283
1.4454454,9.0635905,2.4601364,0.00029548177,0.011662809,1.2002134,14.608199,6.1502151,0.01,0.092634225,0.13485297,0,0.31724489,0.74997335,0.1,0.1841735,0.1330714,0.041558193,0.060920149,0,0.28991705
1.4644645,9.0631557,2.4599753,0.00030756728,0.011673189,1.1987552,14.606889,6.1552807,0.01,0.096080541,0.14047577,0,0.31773463,0.75546788,0.1,0.18437092,0.13336371,0.043177898,0.063363091,0,0.30143933
1.4834835,9.0627037,2.4598078,0.0003201238,0.011684044,1.1972394,14.605528,6.1602979,0.01,0.099663838,0.14632201,0,0.31824008,0.76086464,0.1,0.18457717,0.1336629,0.04486054,0.065903105,0,0.31341639
1.5025025,9.0622338,2.4596336,0.0003331696,0.011695393,1.1956637,14.604112,6.1652648,0.01,0.10338952,0.15240051,0,0.31876186,0.76616452,0.1,0.1847926,0.13396926,0.046608492,0.068543895,0,0.32586557
1.5215215,9.0617451,2.4594525,0.00034672367,0.011707255,1.194026,14.602641,6.1701795,0.01,0.10726319,0.15872041,0,0.31930062,0.77136846,0.1,0.18501757,0.13428305,0.048424211,0.071289297,0,0.33880476
1.5405405,9.0612371,2.4592643,0.00036080571,0.011719651,1.1923238,14.601111,6.1750399,0.01,0.11129068,0.1652912,0,0.31985704,0.77647742,0.1,0.18525245,0.13460459,0.05031024,0.074143275,0,0.35225251
