Time,nH2_g,nCO2_g,nCH4_g,nH2S_g,H2_aq,CO2_aq,SO4,FeS,X,Acetate,HCO3,S_tot,Lag,Fe_pool,H2S_aq,HS_aq,r_meth,r_sulf,r_precip,r_aceto
2.5130261,8.9797695,2.4291154,0.0025770629,0.01388095,0.93452235,14.359973,6.2705359,0.01,0.75589791,1.2169471,0,0.39860738,0.93647821,0.1,0.2252604,0.17334698,0.33213102,0.5027696,0,2.3718631
2.5511022,8.9725103,2.4264321,0.0027733044,0.0140771,0.91331479,14.33896,6.263199,0.01,0.81314152,1.3103567,0,0.405327,0.939731,0.1,0.22883381,0.17649319,0.35526208,0.53733543,0,2.5359704
2.5891784,8.9647484,2.4235635,0.0029831059,0.014286911,0.89099515,14.316586,6.2545176,0.01,0.8743071,1.4101709,0,0.41248368,0.9428285,0.1,0.23264624,0.17983744,0.37961442,0.57355598,0,2.7082524
2.6272545,8.9564587,2.4205004,0.0032071632,0.014511035,0.86757316,14.292801,6.2444303,0.01,0.93958292,1.516698,0,0.42009601,0.94577726,0.1,0.23670744,0.18338857,0.40518009,0.61138099,0,2.8885395
2.6653307,8.9476164,2.4172338,0.0034461634,0.014750107,0.84307308,14.26756,6.232878,0.01,1.0091518,1.6302378,0,0.42818144,0.9485836,0.1,0.24102645,0.18715498,0.43193536,0.65073228,0,3.0765369
2.7034068,8.9381977,2.4137551,0.0037007749,0.015004729,0.81753609,14.240821,6.2198051,0.01,1.0831879,1.7510758,0,0.43675586,0.95125365,0.1,0.24561145,0.19114441,0.45983815,0.69150019,0,3.2718072
2.741483,8.9281803,2.4100562,0.0039716361,0.015275462,0.7910224,14.212554,6.205161,0.01,1.1618532,1.8794782,0,0.44583322,0.95379334,0.1,0.25046944,0.19536378,0.48882561,0.73354034,0,3.4737542
2.7795591,8.9175433,2.4061295,0.0042593432,0.015562811,0.76361327,14.182736,6.1889012,0.01,1.2452938,2.0156852,0,0.455425,0.9562084,0.1,0.25560603,0.19981897,0.51881187,0.77667106,0,3.6816091
2.8176353,8.9062683,2.4019686,0.0045644362,0.01586721,0.73541265,14.151356,6.170989,0.01,1.3336354,2.1599043,0,0.46553974,0.95850434,0.1,0.26102515,0.20451459,0.54968634,0.82067179,0,3.8944214
2.8557114,8.8943398,2.3975678,0.0048873847,0.016189004,0.706548,14.118412,6.1513968,0.01,1.4269794,2.312303,0,0.47618262,0.96068649,0.1,0.26672884,0.20945379,0.58131283,0.8652831,0,4.1110561
