time_d pH Ptot_atm pH2_atm pCO2_atm pCH4_atm CH4_g_mol H2_g_mol CO2_g_mol SO4 Formate Acetate Ca
12.48 5.83969805566706 80.28871027622007 9.072732557590868 2.172713184284795 69.04122301464427 0.7613684382576704 0.10005170703085806 0.023960109216999953 0.0003720333385762765 0.002109892862689399 0.0 0.011305425570634945
13.44 5.838948003007814 80.28536368283972 9.0702627006973 2.171936329942067 69.04112293918548 0.7613688149156708 0.10002466456835918 0.02395158883876249 0.00037203845301654083 0.002247234468725738 0.0 0.011360189854421545
14.4 5.83822283371511 80.28211306269353 9.067864191824633 2.171180918108802 69.04102605308033 0.7613691812964478 0.09999840284149289 0.023943303461342873 0.0003720434602379321 0.0023806107548180228 0.0 0.01141344296601408
15.36 5.837520505339056 80.27895057445281 9.065531198550927 2.1704452014271176 69.04093209423105 0.7613695382362679 0.09997285803004365 0.023935233935252535 0.00037204836594351343 0.002510345859191301 0.0 0.01146530804747294
16.32 5.836840863632797 80.27587677284049 9.063264086910946 2.1697293796817947 69.04084105147894 0.7613698856284012 0.09994803418055968 0.02392738246656543 0.0003720531660672174 0.002636419241754238 0.0 0.011515770983022382
17.28 5.836184071981194 80.27289361775307 9.061064259329537 2.1690339773171465 69.04075295787187 0.761370223207941 0.09992394668474804 0.023919754821738814 0.0003720578563869352 0.002758752744008599 0.0 0.011564794773205447
18.24 5.835548063336329 80.26999304512563 9.058925725388544 2.1683571866003684 69.0406675469433 0.7613705518439052 0.09990052998797551 0.02391233118711896 0.00037206244626775993 0.0028776793076844016 0.0 0.011612506790062522
19.2 5.834932834071624 80.26717551290884 9.056848802957177 2.1676991461415094 69.04058482015635 0.7613708714628756 0.09987778759097497 0.023905113090667923 0.00037206693254338284 0.0029931811741648055 0.0 0.011658897341596733
20.16 5.834336801221004 80.26443569144438 9.054829503433888 2.1670587077038608 69.04050458425235 0.7613711826102593 0.0998556758657547 0.023898087955913278 0.0003720713229685726 0.0031054799106171693 0.0 0.011704047188216533
21.12 5.833760360842928 80.26177570571409 9.05286937909268 2.166436390501123 69.04042689282295 0.7613714850295807 0.09983421182560094 0.023891261483989006 0.0003720756093053966 0.0032144891329886774 0.0 0.011747919818028021
22.08 5.833201782640834 80.25918875895574 9.050963383375521 2.1658306658992235 69.04035152383634 0.7613717794555018 0.09981334024084937 0.023884616918995818 0.0003720798038168242 0.003320489339797428 0.0 0.011790622921427362
23.04 5.8326615402263196 80.25667770409733 9.049113595360787 2.1652422390256656 69.04027854612515 0.761372065539934 0.09979308389969074 0.023878162003979242 0.0003720838987358697 0.0034233648091770664 0.0 0.011832106805218573
24.0 5.832138472465981 80.25423822410846 9.04731680051761 2.164670153364355 69.04020781339248 0.7613723437401932 0.09977340762929457 0.023871886257199444 0.0003720878946769337 0.0035232941766411667 0.0 0.011872438835542471
24.96 5.831631259719362 80.25186469453229 9.045568837751926 2.164113119806989 69.04013915103971 0.7613726146787905 0.09975426587998505 0.023865775543808372 0.00037209181127047665 0.0036205087858617 0.0 0.011911709907361212
25.92 5.831140140582096 80.24955896977627 9.043871048874978 2.1635716121370714 69.04007259792908 0.7613728781199505 0.099735673366642 0.02385983506925206 0.0003720956328199159 0.0037149339116901983 0.0 0.011949886601522497
26.88 5.83066487824785 80.24732057441747 9.042223062947935 2.163045552403692 69.0400081274574 0.761373134096835 0.09971762604573489 0.02385406398550781 0.00037209936057517115 0.0038065900982111483 0.0 0.011986974406773368
27.84 5.8302043906923 80.2451452216887 9.040621698752352 2.1625339738466187 69.03994560054858 0.7613733830745587 0.0997000891007247 0.023848451695071035 0.0003721030053064321 0.003895654170957995 0.0 0.012023041434013958
28.8 5.829758265553487 80.2430314790057 9.039065884685636 2.1620365668443204 69.03988496573021 0.7613736251996729 0.09968305081135986 0.023842994807036114 0.0003721065661959548 0.00398218566103595 0.0 0.012058109512178521
29.76 5.829325724796084 80.24097601641823 9.03755315737321 2.161552567764301 69.03982611985764 0.7613738608407021 0.09966648421224776 0.023837684948339693 0.0003721100400702045 0.0040663215259343155 0.0 0.012092232497022695
30.72 5.828906692692398 80.23897921066671 9.036083771791764 2.1610821013915045 69.03976905987841 0.7613740899323563 0.0996503921144901 0.023832523495179496 0.000372113435340904 0.004148047491584723 0.0 0.012125401546283728
31.68 5.828500913157952 80.23704034598668 9.034657185438546 2.1606250248955403 69.03971375528931 0.7613743125408976 0.0996347685912261 0.023827508886012094 0.00037211674707518077 0.0042273936642950975 0.0 0.012157626720318273
32.64 5.828107207749714 80.23515419093751 9.033269535832535 2.1601801255854296 69.03966004951798 0.7613745292531269 0.09961957135275616 0.023822627820677452 0.0003721199848219346 0.004304574824635636 0.0 0.012188993512915766
33.6 5.827726531968965 80.23332566907123 9.03192443442587 2.159748583408087 69.0396080749542 0.7613747394926705 0.09960483996258289 0.02381789324875871 0.0003721231360892564 0.004379390051484803 0.0 0.012219418750868676
34.56 5.827356790606892 80.2315454234858 9.0306149770879 2.1593282231765225 69.03955755347336 0.7613749443143669 0.09959049882357802 0.02381328131204169 0.00037212622316880247 0.004452223274447981 0.0 0.01224905572342327
35.52 5.82699842586752 80.22981570965759 9.029342817675262 2.1589195857862 69.03950854591041 0.7613751434520555 0.09957656605450516 0.023808797947047478 0.0003721292337816469 0.004522982483706313 0.0 0.012277866335441352
36.48 5.826651686347824 80.22813813668533 9.02810912724139 2.1585230716714183 69.03946108993317 0.7613753367101226 0.09956305449228509 0.02380444755141557 0.0003721321676572601 0.004591602490774857 0.0 0.012305822346643493
37.44 5.826314943577213 80.2265052664293 9.026908422519698 2.15813694382844 69.03941496725541 0.7613755249310482 0.09954990409417416 0.02380021107165709 0.0003721350362792959 0.004658388231886368 0.0 0.01233304619069396
38.4 5.825988463889748 80.22491862305499 9.025741816897643 2.1577615749530747 69.03937021602357 0.7613757079317015 0.09953712706175513 0.023796092599637185 0.0003721378368255693 0.004723277745473649 0.0 0.012359511602729726
39.36 5.8256724089243335 80.2233793575689 9.024610145652247 2.157397255014986 69.03932686203277 0.7613758855682745 0.09952473255265548 0.023792095320461337 0.0003721405651915851 0.00478622452674229 0.0 0.012385198128558728
40.32 5.825365967780992 80.22188380998205 9.023510709089637 2.157043131997198 69.03928479679685 0.7613760582530787 0.09951269100653601 0.023788209888878267 0.0003721432287586366 0.004847378704443679 0.0 0.012410165830348485
41.28 5.825068348017564 80.22042838468829 9.022440855669558 2.156698367750341 69.0392439141965 0.7613762263938726 0.09950097338979987 0.023784427111511117 0.0003721458322563647 0.0049068877325259466 0.0 0.012434473791450526
42.24 5.8247798852910995 80.21901496802998 9.02140196464666 2.1563634212213834 69.03920426245352 0.7613763897673244 0.09948959481605629 0.023780752026613804 0.0003721483725546094 0.004964674859333558 0.0 0.012458089654973843
43.2 5.824500432092052 80.2176430485926 9.020393653432114 2.156038181723428 69.03916582338937 0.7613765484229674 0.0994785511002577 0.02377718342184694 0.0003721508482531075 0.005020761341739266 0.0 0.012481021227963674
44.16 5.82422910784944 80.21630861155295 9.019412962531788 2.1557217118674457 69.03912847883838 0.7613767028164349 0.09946780983572376 0.023773711014863037 0.00037215326775340263 0.005075311762041831 0.0 0.012503334578465737
45.12 5.82396632243205 80.21501381143723 9.018461470733023 2.1554145298940806 69.0390922864002 0.7613768526951985 0.09945738831934939 0.023770340493738412 0.0003721556259279048 0.005128238281223859 0.0 0.012524993181665979
46.08 5.823711709392579 80.21375712070892 9.017538047484067 2.1551162863090014 69.03905719848859 0.7613769982263275 0.09944727417485744 0.023767068026211893 0.0003721579257596667 0.005179603754247672 0.0 0.012546021663010713
47.04 5.823464045306857 80.21253267158909 9.016638376072933 2.1548255968309484 69.03902304800873 0.7613771400861227 0.09943742012683925 0.023763878425131238 0.00037216017636711423 0.005229648276726497 0.0 0.012566517611808836
48.0 5.823224409145475 80.21134591818426 9.015766460027885 2.1545437625131965 69.03898998475499 0.7613772776377866 0.09942787002931952 0.02376078596773909 0.0003721623669498378 0.00527814913564267 0.0 0.012586389314538716
48.96 5.822991827633596 80.2101922827915 9.014918929245187 2.1542697072983765 69.03895787693791 0.761377411405058 0.09941858697540357 0.02375777884911116 0.0003721645064208115 0.005325293766702258 0.0 0.012605712618346577
49.92 5.822765803790012 80.20906946997106 9.014094092410145 2.1540028938428355 69.03892665764974 0.7613775416488632 0.0994095524444513 0.023754851174834238 0.00037216659903917796 0.005371176229905027 0.0 0.012624525400660192
50.88 5.822546563754113 80.2079786787569 9.013292827716185 2.153743611160662 69.03889635877263 0.7613776682281022 0.0994007760578073 0.02375200611709983 0.00037216864006980725 0.00541574766637658 0.0 0.012642807297421942
51.84 5.822334058429045 80.2069198341597 9.012515075320502 2.1534918493520996 69.03886697504548 0.7613777911459642 0.09939225716447708 0.02374924356894558 0.0003721706303283335 0.005459011383608516 0.0 0.012660559000995303
52.8 5.822127687889707 80.20589013730469 9.011758773952023 2.153246951478262 69.03883842565054 0.7613779107220999 0.09938397319135077 0.023746556323595125 0.00037217257606221636 0.005501082021580806 0.0 0.012677826814125088
53.76 5.821928164543809 80.20489319813478 9.011026573193657 2.1530097793551004 69.03881080930987 0.7613780265354223 0.09937595316229933 0.023743953838491837 0.0003721744686258308 0.005541812184119454 0.0 0.012694549991710475
54.72 5.82173388438986 80.20392119415513 9.010312722505487 2.1527784804046326 69.03878390624264 0.7613781394891542 0.09936813409409001 0.023741415787002024 0.0003721763219713352 0.0055815217355203815 0.0 0.012710859124279364
55.68 5.821545344040542 80.20297668014967 9.009619095973802 2.152553666176024 69.0387577857208 0.7613782492845536 0.0993605365165238 0.023738948880492466 0.00037217813161596967 0.005620106416407517 0.0 0.012726711103777424
56.64 5.82136279200961 80.20206098178545 9.008946664633289 2.1523356562116747 69.03873248289545 0.7613783557637229 0.09935317106792677 0.023736556626185377 0.00037217989520573245 0.005657512201124545 0.0 0.012742083407313712
57.6 5.821185163400098 80.20116889732678 9.008291604841542 2.1521232182800447 69.038707851637 0.7613784595285471 0.09934599586977569 0.02373422550395452 0.0003721816206944241 0.005693951772892089 0.0 0.012757062897016799
58.56 5.821013419284712 80.20030534252733 9.00765752357575 2.151917527297206 69.03868402604478 0.7613785600064501 0.09933905043370357 0.02373196840732289 0.0003721833009157675 0.00572922447231076 0.0 0.012771566743733651
59.52 5.82084654123234 80.19946533471172 9.007040758336146 2.151717402424971 69.03866086652518 0.7613786577711592 0.09933229464495257 0.02372977237976675 0.0003721849435198957 0.005763534023633011 0.0 0.012785678187028289
60.48 5.820684611914392 80.19864927692906 9.00644160530419 2.151522939841893 69.03863838378852 0.7613787527757717 0.09932573174867111 0.02372763847689983 0.0003721865466062042 0.00579686394906892 0.0 0.012799390461107337
61.44 5.8205270615899085 80.19785440520722 9.005858031976565 2.151333485528446 69.03861650024197 0.7613788453396216 0.09931933948391794 0.023725559522901698 0.0003721881150249001 0.005829327302571922 0.0 0.012812749667797467
